Segment Code_Segment Description;GS1 Segment-Google TAX;Family CodeFamily Description;GS1 Family-Google TAX;Class CodeClass Description;GS1 Class-Google TAX
47000000_Cleaning/Hygiene Products;;47100000_Cleaning Products;121006_Household Cleaning Supplies;47101500_Fresheners/Deodorisers;{120338_Home Fragrance Accessories, 120339_Home Fragrances}
47000000_Cleaning/Hygiene Products;;47100000_Cleaning Products;121006_Household Cleaning Supplies;47101700_Laundry;121009_Laundry Supplies
47000000_Cleaning/Hygiene Products;;47100000_Cleaning Products;121006_Household Cleaning Supplies;47101900_Surface Care;
47000000_Cleaning/Hygiene Products;;47190000_Cleaning/Hygiene Products Variety Packs;;47190100_Cleaning/Hygiene Products Variety Packs;
47000000_Cleaning/Hygiene Products;;47200000_Cleaning/Hygiene Supplies;;47200100_Product Supplies Dispensers;
47000000_Cleaning/Hygiene Products;;47120000_Insect/Pest/Allergen Control;;47121500_Insect/Pest/Allergen Control;121011_Pest Control
47000000_Cleaning/Hygiene Products;;47210000_Waste Management Products;;47210100_Waste Storage Products;{121005_Garbage Bags, 121016_Trash Compactor Accessories, 121017_Waste Containment, 121018_Waste Containment Accessories}
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50200000_Beverages;80100_Beverages;50202200_Alcoholic Beverages;80101_Alcoholic Beverages
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50200000_Beverages;80100_Beverages;50202500_Beverages Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50200000_Beverages;80100_Beverages;50201700_Coffee/Tea/Substitutes;{80103_Coffee, 80113_Tea & Infusions}
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50200000_Beverages;80100_Beverages;50202400_Non Alcoholic Beverages – Not Ready to Drink;{80110_Powdered Beverage Mixes}
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50200000_Beverages;80100_Beverages;50202300_Non Alcoholic Beverages – Ready to Drink;{80104_Eggnog, 80105_Fruit Flavored Drinks, 80106_Hot Chocolate, 80107_Juice, 80111_Soda, 80112_Sports & Energy Drinks, 80114_Vinegar Drinks,80115_Water}
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50181700_Baking/Cooking Mixes/Supplies;80205_Cooking & Baking Ingredients
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50182100_Biscuits/Cookies;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50181900_Bread;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50182300_Bread/Bakery Products Variety Packs;
