"_key","arcFileName","arcFilePos","detectedMimeType","hostIp","html-mf-geo","html-mf-hcalendar","html-mf-hcard","html-mf-hlisting","html-mf-hrecipe","html-mf-hresume","html-mf-hreview","html-mf-license","html-mf-species","html-mf-xfn","html-microdata","html-rdfa","linkRelData","mimeType","recordLength","scriptData","timestamp","totalTriples","uri"
"http://blogs.payscale.com/salary_report_kris_cowan/2009/10/qvc-host-salaries.html","common-crawl/crawl-002/2010/01/06/37/1262850813312_37.arc.gz","11752655","application/xhtml+xml","204.9.177.195","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","49696","false","1258749569000","1","http://blogs.payscale.com/salary_report_kris_cowan/2009/10/qvc-host-salaries.html"
"http://www.trumba.com/events-calendar/ma/boston/boston/city-calendar-arts-tourism-special-events-parades","common-crawl/crawl-002/2010/01/06/24/1262851198118_24.arc.gz","81995525","application/xhtml+xml","64.94.116.26","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","5831","false","1258749089000","1","http://www.trumba.com/events-calendar/ma/boston/boston/city-calendar-arts-tourism-special-events-parades"
"http://www.trumba.com/events-calendar/wi/green-bay/fox/11/wluk/community/calendar/events-northeast/wisconsin/haunted-houses-2008","common-crawl/crawl-002/2010/01/06/24/1262851198118_24.arc.gz","82466677","application/xhtml+xml","64.94.116.26","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","5465","false","1258767100000","1","http://www.trumba.com/events-calendar/wi/green-bay/fox/11/wluk/community/calendar/events-northeast/wisconsin/haunted-houses-2008"
"http://www.voipers.net/","common-crawl/crawl-002/2010/01/07/21/1262855273831_21.arc.gz","71547690","application/xhtml+xml","74.125.19.191","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","120011","false","1258791574000","1","http://www.voipers.net/"
"http://evan.prodromou.name/Journal/15_Niv%c3%b4se_CCXVII","common-crawl/crawl-002/2010/01/07/26/1262886996962_26.arc.gz","44589279","text/html","128.121.149.231","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","7913","false","1259250423000","1","http://evan.prodromou.name/Journal/15_Niv%c3%b4se_CCXVII"
"http://wiki.healthhaven.com/1985_FIFA_U-16_World_Championship","common-crawl/crawl-002/2010/01/07/29/1262908300737_29.arc.gz","98028674","application/xhtml+xml","204.232.129.250","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","146384","false","1259692947000","1","http://wiki.healthhaven.com/1985_FIFA_U-16_World_Championship"
"http://wiki.healthhaven.com/2008_Copa_Libertadores","common-crawl/crawl-002/2010/01/07/29/1262908300737_29.arc.gz","99020996","application/xhtml+xml","204.232.129.250","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","230968","false","1259661964000","1","http://wiki.healthhaven.com/2008_Copa_Libertadores"
"http://wiki.healthhaven.com/2009_Copa_Libertadores","common-crawl/crawl-002/2010/01/07/29/1262908300737_29.arc.gz","99273248","application/xhtml+xml","204.232.129.250","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","230692","false","1259692231000","1","http://wiki.healthhaven.com/2009_Copa_Libertadores"
"http://wiki.healthhaven.com/2010_Copa_Libertadores","common-crawl/crawl-002/2010/01/07/29/1262908300737_29.arc.gz","99473711","application/xhtml+xml","204.232.129.250","0","1","0","0","0","0","0","0","0","0","0","0","false","text/html","143581","false","1259611748000","1","http://wiki.healthhaven.com/2010_Copa_Libertadores"
"http://blog.roodo.com/gigi20060206","common-crawl/crawl-002/2010/01/07/32/1262908431577_32.arc.gz","10180476","application/xhtml+xml","61.63.27.33","0","0","0","0","0","0","0","0","0","0","0","1","true","text/html","142320","false","1259632830000","1","http://blog.roodo.com/gigi20060206"
"http://blog.roodo.com/gigi20060206/tag/2117/%C3%A5%C2%BF%C2%83%C3%A6%C2%83%C2%85","common-crawl/crawl-002/2010/01/07/32/1262908431577_32.arc.gz","10382046","application/xhtml+xml","61.63.27.33","0","0","0","0","0","0","0","0","0","0","0","1","true","text/html","72402","false","1259638204000","1","http://blog.roodo.com/gigi20060206/tag/2117/%C3%A5%C2%BF%C2%83%C3%A6%C2%83%C2%85"
"http://blog.roodo.com/gigi20060206/tag/2117/%E5%BF%83%E6%83%85","common-crawl/crawl-002/2010/01/07/32/1262908431577_32.arc.gz","10397171","application/xhtml+xml","61.63.27.33","0","0","0","0","0","0","0","0","0","0","0","1","true","text/html","72380","false","1259636254000","1","http://blog.roodo.com/gigi20060206/tag/2117/%E5%BF%83%E6%83%85"
"http://blog.roodo.com/gigi20060206/tag/8521/%E5%AE%B6%E5%BA%AD","common-crawl/crawl-002/2010/01/07/32/1262908431577_32.arc.gz","10412277","application/xhtml+xml","61.63.27.33","0","0","0","0","0","0","0","0","0","0","0","1","true","text/html","66739","false","1259689781000","1","http://blog.roodo.com/gigi20060206/tag/8521/%E5%AE%B6%E5%BA%AD"
"http://blog.roodo.com/onion_club","common-crawl/crawl-002/2010/01/07/32/1262908431577_32.arc.gz","44626248","application/xhtml+xml","61.63.27.33","0","0","0","0","0","0","0","0","0","0","0","1","true","text/html","48507","false","1259674101000","1","http://blog.roodo.com/onion_club"
"http://www.pre-kpages.com/elmo.html","common-crawl/crawl-002/2010/02/16/0/1266354442223_0.arc.gz","43944607","text/html","174.120.200.60","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","65520","false","1265691580000","1","http://www.pre-kpages.com/elmo.html"
"http://www.pre-kpages.com/halloween.html","common-crawl/crawl-002/2010/02/16/0/1266354442223_0.arc.gz","43968129","text/html","174.120.200.60","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","107159","false","1265695152000","1","http://www.pre-kpages.com/halloween.html"
"http://www.pre-kpages.com/insects.html","common-crawl/crawl-002/2010/02/16/0/1266354442223_0.arc.gz","44004909","text/html","174.120.200.60","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","63918","false","1265691531000","1","http://www.pre-kpages.com/insects.html"
"http://www.pre-kpages.com/ipods.html","common-crawl/crawl-002/2010/02/16/0/1266354442223_0.arc.gz","44014303","text/html","174.120.200.60","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","33882","false","1265688595000","1","http://www.pre-kpages.com/ipods.html"
"http://www.pre-kpages.com/misc_center.html","common-crawl/crawl-002/2010/02/16/0/1266354442223_0.arc.gz","44029998","text/html","174.120.200.60","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","19734","false","1265691514000","1","http://www.pre-kpages.com/misc_center.html"
"http://felix0v0y.pixnet.net/blog/category/1460009","common-crawl/crawl-002/2010/02/16/19/1266360532638_19.arc.gz","4587501","text/html","60.199.247.118","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","46336","false","1262231535000","1","http://felix0v0y.pixnet.net/blog/category/1460009"
"http://felix0v0y.pixnet.net/blog/post/28717901","common-crawl/crawl-002/2010/02/16/19/1266360532638_19.arc.gz","4597159","text/html","60.199.247.118","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","34019","false","1262231500000","1","http://felix0v0y.pixnet.net/blog/post/28717901"
"http://felix0v0y.pixnet.net/blog/post/28890934","common-crawl/crawl-002/2010/02/16/19/1266360532638_19.arc.gz","4607359","text/html","60.199.247.118","0","0","0","0","0","0","0","0","0","0","0","1","false","text/html","33319","false","1262231551000","1","http://felix0v0y.pixnet.net/blog/post/28890934"
